"spp","sp","Grid","Platform","Records"
"O_cuniculus","O. cuniculus","UG18","GBIF",5
"O_cuniculus","O. cuniculus","UG18","NoVal",34
"O_cuniculus","O. cuniculus","UG18","seqRec",129
"O_cuniculus","O. cuniculus","UG18","dailyRec",48
"L_granatensis","L. granatensis","UG18","GBIF",0
"L_granatensis","L. granatensis","UG18","NoVal",1
"L_granatensis","L. granatensis","UG18","seqRec",5
"L_granatensis","L. granatensis","UG18","dailyRec",5
"G_genetta","G. genetta","UG18","GBIF",0
"G_genetta","G. genetta","UG18","NoVal",0
"G_genetta","G. genetta","UG18","seqRec",32
"G_genetta","G. genetta","UG18","dailyRec",26
"H_icheneumon","H. icheneumon","UG18","GBIF",4
"H_icheneumon","H. icheneumon","UG18","NoVal",1
"H_icheneumon","H. icheneumon","UG18","seqRec",16
"H_icheneumon","H. icheneumon","UG18","dailyRec",12
"V_vulpes","V. vulpes","UG18","GBIF",0
"V_vulpes","V. vulpes","UG18","NoVal",4
"V_vulpes","V. vulpes","UG18","seqRec",10
"V_vulpes","V. vulpes","UG18","dailyRec",9
"L_lutra","L. lutra","UG18","GBIF",2
"L_lutra","L. lutra","UG18","NoVal",0
"L_lutra","L. lutra","UG18","seqRec",0
"L_lutra","L. lutra","UG18","dailyRec",0
"M_foina","M. foina","UG18","GBIF",0
"M_foina","M. foina","UG18","NoVal",1
"M_foina","M. foina","UG18","seqRec",0
"M_foina","M. foina","UG18","dailyRec",0
"M_meles","M. meles","UG18","GBIF",0
"M_meles","M. meles","UG18","NoVal",1
"M_meles","M. meles","UG18","seqRec",4
"M_meles","M. meles","UG18","dailyRec",3
"M_nivalis","M. nivalis","UG18","GBIF",0
"M_nivalis","M. nivalis","UG18","NoVal",0
"M_nivalis","M. nivalis","UG18","seqRec",0
"M_nivalis","M. nivalis","UG18","dailyRec",0
"S_scrofa","S. scrofa","UG18","GBIF",0
"S_scrofa","S. scrofa","UG18","NoVal",1
"S_scrofa","S. scrofa","UG18","seqRec",22
"S_scrofa","S. scrofa","UG18","dailyRec",13
"C_elaphus","C. elaphus","UG18","GBIF",0
"C_elaphus","C. elaphus","UG18","NoVal",0
"C_elaphus","C. elaphus","UG18","seqRec",0
"C_elaphus","C. elaphus","UG18","dailyRec",0
"E_europaeus","E. europaeus","UG18","GBIF",2
"E_europaeus","E. europaeus","UG18","NoVal",2
"E_europaeus","E. europaeus","UG18","seqRec",0
"E_europaeus","E. europaeus","UG18","dailyRec",0
"M_putorius","M. putorius","UG18","GBIF",0
"M_putorius","M. putorius","UG18","NoVal",0
"M_putorius","M. putorius","UG18","seqRec",0
"M_putorius","M. putorius","UG18","dailyRec",0
"C_pynernaica","C. pynernaica","UG18","GBIF",0
"C_pynernaica","C. pynernaica","UG18","NoVal",0
"C_pynernaica","C. pynernaica","UG18","seqRec",0
"C_pynernaica","C. pynernaica","UG18","dailyRec",0
"S_vulgaris","S. vulgaris","UG18","GBIF",0
"S_vulgaris","S. vulgaris","UG18","NoVal",0
"S_vulgaris","S. vulgaris","UG18","seqRec",0
"S_vulgaris","S. vulgaris","UG18","dailyRec",0
"E_quercinus","E. quercinus","UG18","GBIF",0
"E_quercinus","E. quercinus","UG18","NoVal",0
"E_quercinus","E. quercinus","UG18","seqRec",0
"E_quercinus","E. quercinus","UG18","dailyRec",0
"O_cuniculus","O. cuniculus","UG37","GBIF",5
"O_cuniculus","O. cuniculus","UG37","NoVal",3
"O_cuniculus","O. cuniculus","UG37","seqRec",123
"O_cuniculus","O. cuniculus","UG37","dailyRec",22
"L_granatensis","L. granatensis","UG37","GBIF",0
"L_granatensis","L. granatensis","UG37","NoVal",3
"L_granatensis","L. granatensis","UG37","seqRec",1
