spp,Species.Name,Grid,Data.Source,Records
O_cuniculus,O. cuniculus,UG18,Global Biodiversity,5
O_cuniculus,O. cuniculus,UG18,No Validation,34
O_cuniculus,O. cuniculus,UG18,Sequences Record,129
O_cuniculus,O. cuniculus,UG18,Daily Record,48
L_granatensis,L. granatensis,UG18,Global Biodiversity,0
L_granatensis,L. granatensis,UG18,No Validation,1
L_granatensis,L. granatensis,UG18,Sequences Record,5
L_granatensis,L. granatensis,UG18,Daily Record,5
G_genetta,G. genetta,UG18,Global Biodiversity,0
G_genetta,G. genetta,UG18,No Validation,0
G_genetta,G. genetta,UG18,Sequences Record,32
G_genetta,G. genetta,UG18,Daily Record,26
H_icheneumon,H. icheneumon,UG18,Global Biodiversity,4
H_icheneumon,H. icheneumon,UG18,No Validation,1
H_icheneumon,H. icheneumon,UG18,Sequences Record,16
H_icheneumon,H. icheneumon,UG18,Daily Record,12
V_vulpes,V. vulpes,UG18,Global Biodiversity,0
V_vulpes,V. vulpes,UG18,No Validation,4
V_vulpes,V. vulpes,UG18,Sequences Record,10
V_vulpes,V. vulpes,UG18,Daily Record,9
L_lutra,L. lutra,UG18,Global Biodiversity,2
L_lutra,L. lutra,UG18,No Validation,0
L_lutra,L. lutra,UG18,Sequences Record,0
L_lutra,L. lutra,UG18,Daily Record,0
M_foina,M. foina,UG18,Global Biodiversity,0
M_foina,M. foina,UG18,No Validation,1
M_foina,M. foina,UG18,Sequences Record,0
M_foina,M. foina,UG18,Daily Record,0
M_meles,M. meles,UG18,Global Biodiversity,0
M_meles,M. meles,UG18,No Validation,1
M_meles,M. meles,UG18,Sequences Record,4
M_meles,M. meles,UG18,Daily Record,3
M_nivalis,M. nivalis,UG18,Global Biodiversity,0
M_nivalis,M. nivalis,UG18,No Validation,0
M_nivalis,M. nivalis,UG18,Sequences Record,0
M_nivalis,M. nivalis,UG18,Daily Record,0
S_scrofa,S. scrofa,UG18,Global Biodiversity,0
S_scrofa,S. scrofa,UG18,No Validation,1
S_scrofa,S. scrofa,UG18,Sequences Record,22
S_scrofa,S. scrofa,UG18,Daily Record,13
C_elaphus,C. elaphus,UG18,Global Biodiversity,0
C_elaphus,C. elaphus,UG18,No Validation,0
C_elaphus,C. elaphus,UG18,Sequences Record,0
C_elaphus,C. elaphus,UG18,Daily Record,0
E_europaeus,E. europaeus,UG18,Global Biodiversity,2
E_europaeus,E. europaeus,UG18,No Validation,2
E_europaeus,E. europaeus,UG18,Sequences Record,0
E_europaeus,E. europaeus,UG18,Daily Record,0
M_putorius,M. putorius,UG18,Global Biodiversity,0
M_putorius,M. putorius,UG18,No Validation,0
M_putorius,M. putorius,UG18,Sequences Record,0
M_putorius,M. putorius,UG18,Daily Record,0
C_pynernaica,C. pynernaica,UG18,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG18,No Validation,0
C_pynernaica,C. pynernaica,UG18,Sequences Record,0
C_pynernaica,C. pynernaica,UG18,Daily Record,0
S_vulgaris,S. vulgaris,UG18,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG18,No Validation,0
S_vulgaris,S. vulgaris,UG18,Sequences Record,0
S_vulgaris,S. vulgaris,UG18,Daily Record,0
E_quercinus,E. quercinus,UG18,Global Biodiversity,0
E_quercinus,E. quercinus,UG18,No Validation,0
E_quercinus,E. quercinus,UG18,Sequences Record,0
E_quercinus,E. quercinus,UG18,Daily Record,0
O_cuniculus,O. cuniculus,UG37,Global Biodiversity,5
O_cuniculus,O. cuniculus,UG37,No Validation,3
O_cuniculus,O. cuniculus,UG37,Sequences Record,123
O_cuniculus,O. cuniculus,UG37,Daily Record,22
L_granatensis,L. granatensis,UG37,Global Biodiversity,0
L_granatensis,L. granatensis,UG37,No Validation,3
L_granatensis,L. granatensis,UG37,Sequences Record,1
L_granatensis,L. granatensis,UG37,Daily Record,1
G_genetta,G. genetta,UG37,Global Biodiversity,0
G_genetta,G. genetta,UG37,No Validation,0
G_genetta,G. genetta,UG37,Sequences Record,0
G_genetta,G. genetta,UG37,Daily Record,0
H_icheneumon,H. icheneumon,UG37,Global Biodiversity,2
H_icheneumon,H. icheneumon,UG37,No Validation,0
H_icheneumon,H. icheneumon,UG37,Sequences Record,4
H_icheneumon,H. icheneumon,UG37,Daily Record,4
V_vulpes,V. vulpes,UG37,Global Biodiversity,0
V_vulpes,V. vulpes,UG37,No Validation,2
V_vulpes,V. vulpes,UG37,Sequences Record,18
V_vulpes,V. vulpes,UG37,Daily Record,11
L_lutra,L. lutra,UG37,Global Biodiversity,1
L_lutra,L. lutra,UG37,No Validation,1
L_lutra,L. lutra,UG37,Sequences Record,0
L_lutra,L. lutra,UG37,Daily Record,0
M_foina,M. foina,UG37,Global Biodiversity,0
M_foina,M. foina,UG37,No Validation,0
M_foina,M. foina,UG37,Sequences Record,0
M_foina,M. foina,UG37,Daily Record,0
M_meles,M. meles,UG37,Global Biodiversity,0
M_meles,M. meles,UG37,No Validation,0
M_meles,M. meles,UG37,Sequences Record,5
M_meles,M. meles,UG37,Daily Record,5
M_nivalis,M. nivalis,UG37,Global Biodiversity,0
M_nivalis,M. nivalis,UG37,No Validation,0
M_nivalis,M. nivalis,UG37,Sequences Record,0
M_nivalis,M. nivalis,UG37,Daily Record,0
S_scrofa,S. scrofa,UG37,Global Biodiversity,0
S_scrofa,S. scrofa,UG37,No Validation,1
S_scrofa,S. scrofa,UG37,Sequences Record,0
S_scrofa,S. scrofa,UG37,Daily Record,0
C_elaphus,C. elaphus,UG37,Global Biodiversity,0
C_elaphus,C. elaphus,UG37,No Validation,0
C_elaphus,C. elaphus,UG37,Sequences Record,0
C_elaphus,C. elaphus,UG37,Daily Record,0
E_europaeus,E. europaeus,UG37,Global Biodiversity,0
E_europaeus,E. europaeus,UG37,No Validation,2
E_europaeus,E. europaeus,UG37,Sequences Record,0
E_europaeus,E. europaeus,UG37,Daily Record,0
M_putorius,M. putorius,UG37,Global Biodiversity,1
M_putorius,M. putorius,UG37,No Validation,0
M_putorius,M. putorius,UG37,Sequences Record,0
M_putorius,M. putorius,UG37,Daily Record,0
C_pynernaica,C. pynernaica,UG37,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG37,No Validation,0
C_pynernaica,C. pynernaica,UG37,Sequences Record,0
C_pynernaica,C. pynernaica,UG37,Daily Record,0
S_vulgaris,S. vulgaris,UG37,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG37,No Validation,0
S_vulgaris,S. vulgaris,UG37,Sequences Record,0
S_vulgaris,S. vulgaris,UG37,Daily Record,0
E_quercinus,E. quercinus,UG37,Global Biodiversity,0
E_quercinus,E. quercinus,UG37,No Validation,0
E_quercinus,E. quercinus,UG37,Sequences Record,0
E_quercinus,E. quercinus,UG37,Daily Record,0
O_cuniculus,O. cuniculus,UG39,Global Biodiversity,7
O_cuniculus,O. cuniculus,UG39,No Validation,1
O_cuniculus,O. cuniculus,UG39,Sequences Record,4
O_cuniculus,O. cuniculus,UG39,Daily Record,4
L_granatensis,L. granatensis,UG39,Global Biodiversity,2
L_granatensis,L. granatensis,UG39,No Validation,5
L_granatensis,L. granatensis,UG39,Sequences Record,10
L_granatensis,L. granatensis,UG39,Daily Record,8
G_genetta,G. genetta,UG39,Global Biodiversity,2
G_genetta,G. genetta,UG39,No Validation,0
G_genetta,G. genetta,UG39,Sequences Record,4
G_genetta,G. genetta,UG39,Daily Record,4
H_icheneumon,H. icheneumon,UG39,Global Biodiversity,1
H_icheneumon,H. icheneumon,UG39,No Validation,0
H_icheneumon,H. icheneumon,UG39,Sequences Record,0
H_icheneumon,H. icheneumon,UG39,Daily Record,0
V_vulpes,V. vulpes,UG39,Global Biodiversity,4
V_vulpes,V. vulpes,UG39,No Validation,10
V_vulpes,V. vulpes,UG39,Sequences Record,21
V_vulpes,V. vulpes,UG39,Daily Record,15
L_lutra,L. lutra,UG39,Global Biodiversity,1
L_lutra,L. lutra,UG39,No Validation,0
L_lutra,L. lutra,UG39,Sequences Record,0
L_lutra,L. lutra,UG39,Daily Record,0
M_foina,M. foina,UG39,Global Biodiversity,1
M_foina,M. foina,UG39,No Validation,2
M_foina,M. foina,UG39,Sequences Record,2
M_foina,M. foina,UG39,Daily Record,2
M_meles,M. meles,UG39,Global Biodiversity,1
M_meles,M. meles,UG39,No Validation,0
M_meles,M. meles,UG39,Sequences Record,0
M_meles,M. meles,UG39,Daily Record,0
M_nivalis,M. nivalis,UG39,Global Biodiversity,0
M_nivalis,M. nivalis,UG39,No Validation,2
M_nivalis,M. nivalis,UG39,Sequences Record,1
M_nivalis,M. nivalis,UG39,Daily Record,1
S_scrofa,S. scrofa,UG39,Global Biodiversity,20
S_scrofa,S. scrofa,UG39,No Validation,14
S_scrofa,S. scrofa,UG39,Sequences Record,43
S_scrofa,S. scrofa,UG39,Daily Record,25
C_elaphus,C. elaphus,UG39,Global Biodiversity,0
C_elaphus,C. elaphus,UG39,No Validation,0
C_elaphus,C. elaphus,UG39,Sequences Record,0
C_elaphus,C. elaphus,UG39,Daily Record,0
E_europaeus,E. europaeus,UG39,Global Biodiversity,0
E_europaeus,E. europaeus,UG39,No Validation,0
E_europaeus,E. europaeus,UG39,Sequences Record,0
E_europaeus,E. europaeus,UG39,Daily Record,0
M_putorius,M. putorius,UG39,Global Biodiversity,1
M_putorius,M. putorius,UG39,No Validation,1
M_putorius,M. putorius,UG39,Sequences Record,0
M_putorius,M. putorius,UG39,Daily Record,0
C_pynernaica,C. pynernaica,UG39,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG39,No Validation,0
C_pynernaica,C. pynernaica,UG39,Sequences Record,0
C_pynernaica,C. pynernaica,UG39,Daily Record,0
S_vulgaris,S. vulgaris,UG39,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG39,No Validation,0
S_vulgaris,S. vulgaris,UG39,Sequences Record,0
S_vulgaris,S. vulgaris,UG39,Daily Record,0
E_quercinus,E. quercinus,UG39,Global Biodiversity,0
E_quercinus,E. quercinus,UG39,No Validation,0
E_quercinus,E. quercinus,UG39,Sequences Record,0
E_quercinus,E. quercinus,UG39,Daily Record,0
O_cuniculus,O. cuniculus,UG43,Global Biodiversity,0
O_cuniculus,O. cuniculus,UG43,No Validation,2
O_cuniculus,O. cuniculus,UG43,Sequences Record,132
O_cuniculus,O. cuniculus,UG43,Daily Record,22
L_granatensis,L. granatensis,UG43,Global Biodiversity,0
L_granatensis,L. granatensis,UG43,No Validation,1
L_granatensis,L. granatensis,UG43,Sequences Record,0
L_granatensis,L. granatensis,UG43,Daily Record,0
G_genetta,G. genetta,UG43,Global Biodiversity,0
G_genetta,G. genetta,UG43,No Validation,0
G_genetta,G. genetta,UG43,Sequences Record,0
G_genetta,G. genetta,UG43,Daily Record,0
H_icheneumon,H. icheneumon,UG43,Global Biodiversity,2
H_icheneumon,H. icheneumon,UG43,No Validation,0
H_icheneumon,H. icheneumon,UG43,Sequences Record,4
H_icheneumon,H. icheneumon,UG43,Daily Record,3
V_vulpes,V. vulpes,UG43,Global Biodiversity,0
V_vulpes,V. vulpes,UG43,No Validation,0
V_vulpes,V. vulpes,UG43,Sequences Record,1
V_vulpes,V. vulpes,UG43,Daily Record,1
L_lutra,L. lutra,UG43,Global Biodiversity,1
L_lutra,L. lutra,UG43,No Validation,0
L_lutra,L. lutra,UG43,Sequences Record,0
L_lutra,L. lutra,UG43,Daily Record,0
M_foina,M. foina,UG43,Global Biodiversity,2
M_foina,M. foina,UG43,No Validation,0
M_foina,M. foina,UG43,Sequences Record,0
M_foina,M. foina,UG43,Daily Record,0
M_meles,M. meles,UG43,Global Biodiversity,2
M_meles,M. meles,UG43,No Validation,0
M_meles,M. meles,UG43,Sequences Record,0
M_meles,M. meles,UG43,Daily Record,0
M_nivalis,M. nivalis,UG43,Global Biodiversity,0
M_nivalis,M. nivalis,UG43,No Validation,0
M_nivalis,M. nivalis,UG43,Sequences Record,0
M_nivalis,M. nivalis,UG43,Daily Record,0
S_scrofa,S. scrofa,UG43,Global Biodiversity,3
S_scrofa,S. scrofa,UG43,No Validation,0
S_scrofa,S. scrofa,UG43,Sequences Record,0
S_scrofa,S. scrofa,UG43,Daily Record,0
C_elaphus,C. elaphus,UG43,Global Biodiversity,0
C_elaphus,C. elaphus,UG43,No Validation,0
C_elaphus,C. elaphus,UG43,Sequences Record,0
C_elaphus,C. elaphus,UG43,Daily Record,0
E_europaeus,E. europaeus,UG43,Global Biodiversity,0
E_europaeus,E. europaeus,UG43,No Validation,0
E_europaeus,E. europaeus,UG43,Sequences Record,0
E_europaeus,E. europaeus,UG43,Daily Record,0
M_putorius,M. putorius,UG43,Global Biodiversity,0
M_putorius,M. putorius,UG43,No Validation,0
M_putorius,M. putorius,UG43,Sequences Record,0
M_putorius,M. putorius,UG43,Daily Record,0
C_pynernaica,C. pynernaica,UG43,Global Biodiversity,2
C_pynernaica,C. pynernaica,UG43,No Validation,0
C_pynernaica,C. pynernaica,UG43,Sequences Record,0
C_pynernaica,C. pynernaica,UG43,Daily Record,0
S_vulgaris,S. vulgaris,UG43,Global Biodiversity,1
S_vulgaris,S. vulgaris,UG43,No Validation,0
S_vulgaris,S. vulgaris,UG43,Sequences Record,0
S_vulgaris,S. vulgaris,UG43,Daily Record,0
E_quercinus,E. quercinus,UG43,Global Biodiversity,0
E_quercinus,E. quercinus,UG43,No Validation,0
E_quercinus,E. quercinus,UG43,Sequences Record,0
E_quercinus,E. quercinus,UG43,Daily Record,0
O_cuniculus,O. cuniculus,UG44,Global Biodiversity,0
O_cuniculus,O. cuniculus,UG44,No Validation,1
O_cuniculus,O. cuniculus,UG44,Sequences Record,195
O_cuniculus,O. cuniculus,UG44,Daily Record,23
L_granatensis,L. granatensis,UG44,Global Biodiversity,0
L_granatensis,L. granatensis,UG44,No Validation,0
L_granatensis,L. granatensis,UG44,Sequences Record,0
L_granatensis,L. granatensis,UG44,Daily Record,0
G_genetta,G. genetta,UG44,Global Biodiversity,0
G_genetta,G. genetta,UG44,No Validation,0
G_genetta,G. genetta,UG44,Sequences Record,0
G_genetta,G. genetta,UG44,Daily Record,0
H_icheneumon,H. icheneumon,UG44,Global Biodiversity,2
H_icheneumon,H. icheneumon,UG44,No Validation,0
H_icheneumon,H. icheneumon,UG44,Sequences Record,0
H_icheneumon,H. icheneumon,UG44,Daily Record,0
V_vulpes,V. vulpes,UG44,Global Biodiversity,2
V_vulpes,V. vulpes,UG44,No Validation,0
V_vulpes,V. vulpes,UG44,Sequences Record,2
V_vulpes,V. vulpes,UG44,Daily Record,2
L_lutra,L. lutra,UG44,Global Biodiversity,1
L_lutra,L. lutra,UG44,No Validation,2
L_lutra,L. lutra,UG44,Sequences Record,0
L_lutra,L. lutra,UG44,Daily Record,0
M_foina,M. foina,UG44,Global Biodiversity,3
M_foina,M. foina,UG44,No Validation,0
M_foina,M. foina,UG44,Sequences Record,0
M_foina,M. foina,UG44,Daily Record,0
M_meles,M. meles,UG44,Global Biodiversity,2
M_meles,M. meles,UG44,No Validation,0
M_meles,M. meles,UG44,Sequences Record,1
M_meles,M. meles,UG44,Daily Record,1
M_nivalis,M. nivalis,UG44,Global Biodiversity,0
M_nivalis,M. nivalis,UG44,No Validation,0
M_nivalis,M. nivalis,UG44,Sequences Record,0
M_nivalis,M. nivalis,UG44,Daily Record,0
S_scrofa,S. scrofa,UG44,Global Biodiversity,0
S_scrofa,S. scrofa,UG44,No Validation,0
S_scrofa,S. scrofa,UG44,Sequences Record,0
S_scrofa,S. scrofa,UG44,Daily Record,0
C_elaphus,C. elaphus,UG44,Global Biodiversity,0
C_elaphus,C. elaphus,UG44,No Validation,0
C_elaphus,C. elaphus,UG44,Sequences Record,0
C_elaphus,C. elaphus,UG44,Daily Record,0
E_europaeus,E. europaeus,UG44,Global Biodiversity,0
E_europaeus,E. europaeus,UG44,No Validation,0
E_europaeus,E. europaeus,UG44,Sequences Record,0
E_europaeus,E. europaeus,UG44,Daily Record,0
M_putorius,M. putorius,UG44,Global Biodiversity,2
M_putorius,M. putorius,UG44,No Validation,0
M_putorius,M. putorius,UG44,Sequences Record,0
M_putorius,M. putorius,UG44,Daily Record,0
C_pynernaica,C. pynernaica,UG44,Global Biodiversity,0
C_pynernaica,C. pynernaica,UG44,No Validation,0
C_pynernaica,C. pynernaica,UG44,Sequences Record,0
C_pynernaica,C. pynernaica,UG44,Daily Record,0
S_vulgaris,S. vulgaris,UG44,Global Biodiversity,0
S_vulgaris,S. vulgaris,UG44,No Validation,0
S_vulgaris,S. vulgaris,UG44,Sequences Record,0
S_vulgaris,S. vulgaris,UG44,Daily Record,0
E_quercinus,E. quercinus,UG44,Global Biodiversity,0
E_quercinus,E. quercinus,UG44,No Validation,0
E_quercinus,E. quercinus,UG44,Sequences Record,10
E_quercinus,E. quercinus,UG44,Daily Record,5
O_cuniculus,O. cuniculus,UG49,Global Biodiversity,72
O_cuniculus,O. cuniculus,UG49,No Validation,38
O_cuniculus,O. cuniculus,UG49,Sequences Record,48
O_cuniculus,O. cuniculus,UG49,Daily Record,33
L_granatensis,L. granatensis,UG49,Global Biodiversity,5
L_granatensis,L. granatensis,UG49,No Validation,19
L_granatensis,L. granatensis,UG49,Sequences Record,14
L_granatensis,L. granatensis,UG49,Daily Record,14
G_genetta,G. genetta,UG49,Global Biodiversity,2
G_genetta,G. genetta,UG49,No Validation,4
G_genetta,G. genetta,UG49,Sequences Record,16
G_genetta,G. genetta,UG49,Daily Record,15
H_icheneumon,H. icheneumon,UG49,Global Biodiversity,3
H_icheneumon,H. icheneumon,UG49,No Validation,2
H_icheneumon,H. icheneumon,UG49,Sequences Record,5
H_icheneumon,H. icheneumon,UG49,Daily Record,5
V_vulpes,V. vulpes,UG49,Global Biodiversity,4
V_vulpes,V. vulpes,UG49,No Validation,13
V_vulpes,V. vulpes,UG49,Sequences Record,78
