field_1;Nombre.Loc;Latitude;Longitude;Deer;Weasel;Marten;Genet;Wild.Boar;Rabbit;Hare;Dormouse;Moongoose;Shrew ;Otter;Rat;Mouses;Badger;Fox;Total.gene
1;24-TRE-C1;37.94;-4.85;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
6;24-TRE-C2;37.93;-4.849;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
8;24_ALQU_C1_1;37.69;-4.882;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4;6
9;24_ALQU_C1_2;37.69;-4.883;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;7
10;24_ALQU_C1_3;37.69;-4.882;0;0;0;0;0;55;0;0;3;0;0;0;0;3;9;70
11;24_ALQU_C1_4;37.69;-4.884;0;0;0;0;0;62;1;0;0;0;0;0;0;0;2;65
12;24_ALQU_C1_5;37.69;-4.882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
13;24_APG_C1;37.41;-4.734;0;0;0;0;0;40;0;0;1;0;0;0;0;0;0;41
15;24_APG_C2;37.39;-4.729;0;0;0;0;0;92;0;0;3;0;0;2;0;0;1;100
16;24_APG_C3;37.39;-4.729;0;0;0;0;0;21;0;0;0;0;0;0;0;1;0;22
20;24_APG_C4;37.39;-4.73;0;0;0;0;0;174;0;10;0;0;0;0;0;0;2;186
25;24_DT_C1.1;38.54;-5.013;0;0;2;0;0;0;0;0;0;1;0;0;0;0;3;6
27;24_DT_C1.2;38.54;-5.013;3;0;1;0;1;0;0;0;0;0;0;0;0;1;2;8
29;24_DT_C2.1;38.54;-5.013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
31;24_DT_C3.1;38.54;-5.012;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;19
33;24_DT_C4.1;38.54;-5.011;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;33
46;24_DT_C4.2;38.54;-5.011;0;0;0;0;0;0;0;0;1;0;0;5;50;0;0;56
48;24_Priego-Gardu�;37.43;-4.209;0;0;0;0;0;30;2;0;0;0;0;0;0;0;8;40
50;24_Priego-Tur�;37.43;-4.207;0;0;0;0;0;2;1;0;0;0;0;0;0;0;39;42
51;24_SENC_C2;37.92;-4.742;0;0;0;4;10;10;0;0;0;0;0;1;0;0;2;28
52;24_SENC_C3;37.92;-4.742;0;0;0;1;14;24;8;0;1;0;0;0;0;1;5;57
53;24_SENC_C4;37.92;-4.74;0;0;0;3;5;6;6;0;2;0;0;0;0;2;26;51
54;24_SENC_C5;37.92;-4.74;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;5
55;24_SENC_C6;37.92;-4.74;0;0;2;0;3;0;1;0;0;0;0;0;0;0;2;9
56;24_SENC_C7;37.92;-4.741;0;0;0;0;0;1;0;0;0;0;0;7;16;0;28;52
57;24_SENC_C8;37.91;-4.738;0;0;0;2;4;8;0;0;0;0;0;0;2;1;15;33
58;24_SENC_C9;37.92;-4.742;0;0;0;5;1;0;0;0;1;0;0;2;0;0;0;9
59;24_TIRMO_C1_GARDU�;37.92;-4.842;0;0;0;1;4;2;2;0;0;0;0;0;0;0;6;15
