genus,url
Apodemus,https://images.phylopic.org/images/3b89954e-b28e-4062-89cd-1ad5df0eb431/thumbnail/64x64.png?v=1949cccd704
Arvicola,https://images.phylopic.org/images/fcc26dae-bc5d-47c8-8117-a7e6245e45f5/thumbnail/64x64.png?v=1949ccb9755
Capra,https://images.phylopic.org/images/52c28a94-15e2-482d-ac4d-f75ce7b09b95/thumbnail/64x64.png?v=17b6f641650
Capreolus,https://images.phylopic.org/images/b36a215a-adb3-445d-b364-1e63dddd6950/thumbnail/64x64.png?v=1356f8c76d4
Cervus,https://images.phylopic.org/images/cc03f5c2-933f-4c40-9c64-7f8727556fdb/thumbnail/64x64.png?v=17bcfb96c09
Crocidura,https://images.phylopic.org/images/27347fc7-bec9-4653-b94d-b9713cc52301/thumbnail/64x64.png?v=19454a1713e
Dama,https://images.phylopic.org/images/fa652f87-5ba9-4b3b-ad15-faf733474092/thumbnail/64x64.png?v=1665fdda241
Eliomys,https://images.phylopic.org/images/477e2496-9df7-4e60-b66d-8d7d3d295b2f/thumbnail/64x64.png?v=19208472e81
Erinaceous,https://images.phylopic.org/images/f83c6893-f0ed-4ec4-b558-aa774c5c9b5b/thumbnail/64x64.png?v=13f5f8f126d
Felis,https://images.phylopic.org/images/cc22d71c-a014-41a9-aaf1-5f2cffad6121/thumbnail/64x64.png?v=16fe8da085c
Genetta,https://images.phylopic.org/images/8884990f-2295-448f-ada8-81625ef6dead/thumbnail/64x64.png?v=18edf72b844
Herpestes,https://images.phylopic.org/images/640e09b5-4e1b-4143-90c4-9ea924c8d270/thumbnail/64x64.png?v=18edf585a85
Lepus,https://images.phylopic.org/images/09879f48-6719-47d8-9df3-e9f0e9ecf6b8/thumbnail/64x64.png?v=1789a8074a1
Lutra,https://images.phylopic.org/images/5bc654a6-688b-417e-9c8b-18cce269ea4a/raster/647x691.png?v=1999db373e4
Lynx,https://images.phylopic.org/images/27a2173a-5903-46fc-83c5-29ed7f421046/thumbnail/64x64.png?v=19a0c1109fd
Martes,https://images.phylopic.org/images/8685ed13-b001-423b-8896-e88f1c9da335/raster/1024x545.png?v=191e14fead4
Meles,https://images.phylopic.org/images/0c32ffbe-26ee-495a-9ec5-adb14ff1444b/thumbnail/64x64.png?v=18364d2c3a0
Mus,https://images.phylopic.org/images/0f6af3d8-49d2-4d75-8edf-08598387afde/thumbnail/64x64.png?v=18c70cecb35
Mustela,https://images.phylopic.org/images/a67f24a9-6d75-420c-b437-6817da5cec1a/thumbnail/64x64.png?v=13f5aaf3f52
Oryctolagus,https://images.phylopic.org/images/ad7d2a9d-ef0d-46f2-895d-7c67bb8e6355/thumbnail/64x64.png?v=18bf9d78925
Ovis,https://images.phylopic.org/images/cbea1964-89bf-4ce1-99b0-58fe0f9170b3/thumbnail/64x64.png?v=13580ef9edf
Rattus,https://images.phylopic.org/images/43bb7956-1630-4ef4-928e-f129c5722f20/thumbnail/64x64.png?v=190c5a5d413
Sciurus,https://images.phylopic.org/images/23c700c9-e695-404a-8d0c-146e1fc4bada/thumbnail/64x64.png?v=18bf9d736d3
Suncus,https://images.phylopic.org/images/822c549b-b29b-47eb-9fe3-dc5bbb0abccb/thumbnail/64x64.png?v=19454a1a5ed
Vulpes,https://images.phylopic.org/images/d67d3bf6-3509-4ab6-819a-cd409985347e/thumbnail/64x64.png?v=1927bb52207
Sus,https://images.phylopic.org/images/14a64a2f-166e-4bb4-b108-adc085cbcb7a/thumbnail/128x128.png?v=1941a8b004a
